date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:36:38	120/120	---MCZ	200	added ('OK')	text/plain	date:Fri,%2031%20Jan%202025%2017:36:40%20GMT	https://toutvin.com.br/robots.txt		(from )
14:36:39	149694/149694	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202025%2017:36:41%20GMT	https://toutvin.com.br/	C:/Meus%20Sites/VInhos/toutvin.com.br/index.html	(from )
14:36:39	6051/6051	---MCZ	200	added ('OK')	text/css	etag:W/%2263af14a9-17a3%22	https://toutvin.com.br/wp-content/themes/hello-elementor/style.min.css?ver=2.6.1	C:/Meus%20Sites/VInhos/toutvin.com.br/wp-content/themes/hello-elementor/style.minc141.css	(from https://toutvin.com.br/)
14:36:39	2143/2143	---M--	200	added ('OK')	application/rss+xml	etag:%227bf746b816d46cafa80cf8262f47fbe7%22	https://toutvin.com.br/feed/	C:/Meus%20Sites/VInhos/toutvin.com.br/feed/index.html	(from https://toutvin.com.br/)
14:36:39	15672/15672	---MCZ	200	added ('OK')	text/css	etag:W/%2263af14a9-3d38%22	https://toutvin.com.br/wp-content/themes/hello-elementor/theme.min.css?ver=2.6.1	C:/Meus%20Sites/VInhos/toutvin.com.br/wp-content/themes/hello-elementor/theme.minc141.css	(from https://toutvin.com.br/)
14:36:40	60575/60575	---MCZ	200	added ('OK')	text/css	etag:W/%2267410dc7-ec9f%22	https://toutvin.com.br/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.25.9	C:/Meus%20Sites/VInhos/toutvin.com.br/wp-content/plugins/elementor/assets/css/frontend.min5422.css	(from https://toutvin.com.br/)
14:36:40	1448/1448	---MCZ	200	added ('OK')	text/css	etag:W/%2267410ff9-5a8%22	https://toutvin.com.br/wp-content/uploads/elementor/css/post-7.css?ver=1732317177	C:/Meus%20Sites/VInhos/toutvin.com.br/wp-content/uploads/elementor/css/post-757a6.css	(from https://toutvin.com.br/)
14:36:40	20021/20021	---MCZ	200	added ('OK')	text/css	etag:W/%2267410dc7-4e35%22	https://toutvin.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.32.0	C:/Meus%20Sites/VInhos/toutvin.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min444a.css	(from https://toutvin.com.br/)
14:36:40	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%2267410dc7-4057%22	https://toutvin.com.br/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Meus%20Sites/VInhos/toutvin.com.br/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://toutvin.com.br/)
14:36:41	10260/10260	---MCZ	200	added ('OK')	text/css	etag:W/%2267410dc7-2814%22	https://toutvin.com.br/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.25.9	C:/Meus%20Sites/VInhos/toutvin.com.br/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min5422.css	(from https://toutvin.com.br/)
14:36:41	9316/9316	---MCZ	200	added ('OK')	text/css	etag:W/%2266e1261c-2464%22	https://toutvin.com.br/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.24.0	C:/Meus%20Sites/VInhos/toutvin.com.br/wp-content/plugins/elementor-pro/assets/css/frontend.min2401.css	(from https://toutvin.com.br/)
14:36:41	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%2267410dc7-e7d0%22	https://toutvin.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.25.9	C:/Meus%20Sites/VInhos/toutvin.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min5422.css	(from https://toutvin.com.br/)
14:36:41	26702/26702	---MCZ	200	added ('OK')	text/css	etag:W/%2267410dc7-684e%22	https://toutvin.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.25.9	C:/Meus%20Sites/VInhos/toutvin.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min5422.css	(from https://toutvin.com.br/)
14:36:42	254/254	---MCZ	200	added ('OK')	text/css	etag:W/%2267410dc7-fe%22	https://toutvin.com.br/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.25.9	C:/Meus%20Sites/VInhos/toutvin.com.br/wp-content/plugins/elementor/assets/css/widget-image.min5422.css	(from https://toutvin.com.br/)
14:36:42	600/600	---MCZ	200	added ('OK')	text/css	etag:W/%2267410dc7-258%22	https://toutvin.com.br/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.25.9	C:/Meus%20Sites/VInhos/toutvin.com.br/wp-content/plugins/elementor/assets/css/widget-heading.min5422.css	(from https://toutvin.com.br/)
14:36:42	704/704	---MCZ	200	added ('OK')	text/css	etag:W/%2267410dc7-2c0%22	https://toutvin.com.br/wp-content/plugins/elementor/assets/css/widget-text-editor.min.css?ver=3.25.9	C:/Meus%20Sites/VInhos/toutvin.com.br/wp-content/plugins/elementor/assets/css/widget-text-editor.min5422.css	(from https://toutvin.com.br/)
14:36:42	1565/1565	---M--	200	added ('OK')	application/rss+xml	etag:%227bf746b816d46cafa80cf8262f47fbe7%22	https://toutvin.com.br/comments/feed/	C:/Meus%20Sites/VInhos/toutvin.com.br/comments/feed/index.html	(from https://toutvin.com.br/)
14:36:42	9929/9929	---MCZ	200	added ('OK')	text/css	etag:W/%2267410dc7-26c9%22	https://toutvin.com.br/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.25.9	C:/Meus%20Sites/VInhos/toutvin.com.br/wp-content/plugins/elementor/assets/css/widget-icon-list.min5422.css	(from https://toutvin.com.br/)
14:36:42	10094/10094	---MCZ	200	added ('OK')	text/css	etag:W/%2267410dc7-276e%22	https://toutvin.com.br/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css?ver=3.25.9	C:/Meus%20Sites/VInhos/toutvin.com.br/wp-content/plugins/elementor/assets/css/widget-icon-box.min5422.css	(from https://toutvin.com.br/)
14:36:43	130/130	---MCZ	200	added ('OK')	text/css	etag:W/%2267410dc7-82%22	https://toutvin.com.br/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min.css?ver=3.25.9	C:/Meus%20Sites/VInhos/toutvin.com.br/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min5422.css	(from https://toutvin.com.br/)
14:36:43	1729/1729	---MCZ	200	added ('OK')	text/css	etag:W/%2267410dc7-6c1%22	https://toutvin.com.br/wp-content/plugins/elementor/assets/css/widget-accordion.min.css?ver=3.25.9	C:/Meus%20Sites/VInhos/toutvin.com.br/wp-content/plugins/elementor/assets/css/widget-accordion.min5422.css	(from https://toutvin.com.br/)
14:36:43	198/198	---MCZ	200	added ('OK')	text/css	etag:W/%2267410dc7-c6%22	https://toutvin.com.br/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min.css?ver=3.25.9	C:/Meus%20Sites/VInhos/toutvin.com.br/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min5422.css	(from https://toutvin.com.br/)
14:36:43	5059/5059	---MCZ	200	added ('OK')	text/css	etag:W/%2266e1261c-13c3%22	https://toutvin.com.br/wp-content/plugins/elementor-pro/assets/css/widget-pricing.min.css?ver=3.24.0	C:/Meus%20Sites/VInhos/toutvin.com.br/wp-content/plugins/elementor-pro/assets/css/widget-pricing.min2401.css	(from https://toutvin.com.br/)
14:36:43	1281/1281	---MCZ	200	added ('OK')	text/css	etag:W/%2266e1261c-501%22	https://toutvin.com.br/wp-content/plugins/elementor-pro/assets/css/widget-countdown.min.css?ver=3.24.0	C:/Meus%20Sites/VInhos/toutvin.com.br/wp-content/plugins/elementor-pro/assets/css/widget-countdown.min2401.css	(from https://toutvin.com.br/)
